Project ID,Planned Cost ($ M),Projected/Actual Cost ($ M)
2124,1.0270000000000001,1.034
2125,5.84,5.912000000000001
2126,3.57,3.5380000000000003
2127,1.16,1.16
2128,7.556,11.501
2129,0.6,0.6
2130,0.292,0.292
2131,0.491,0.491
2132,0.193,0.191
2133,0.662,0.5660000000000001
2134,1.094,1.298
2135,0.506,0.498
2136,0.43,0.505
2137,1.163,0.8240000000000001
2138,0.419,0.415
2139,11.168,10.932
2140,0.58,0.581
2141,6.843999999999999,7.9179999999999975
2142,11.600999999999999,11.557
2143,1.288,1.393
2144,22.24,19.534000000000002
2145,0.73,1.078
2146,0.45,0.45
2147,42.053000000000004,29.061
2148,17.726,23.178
2149,5.893,36.79
2150,5.192,5.314
2151,0.11599999999999999,0.11800000000000001
2152,1.359,1.345
2153,3.34,3.465
2154,2.248,4.133
2155,0.677,0.701
2156,1.294,1.29
2157,2.742,2.7689999999999997
2158,4.917,6.103
2159,1.258,1.0390000000000001
2160,0.688,0.615
2161,1.024,1.023
2162,6.8370000000000015,6.827000000000001
2163,4.376,5.005
2164,3.575,3.5010000000000003
2165,2.259,2.15
2167,4.856,4.856
2168,0.33399999999999996,0.326
2169,0.55,0.6759999999999999
2170,6.728,7.03
2171,1.6440000000000001,1.518
2172,2.8760000000000003,3.694
2173,0.7859999999999999,0.748
2174,0.508,0.552
2175,59.06,62.38
2176,11.939,11.939
2177,12.937000000000001,12.597000000000001
2178,7.9510000000000005,7.899
2179,1.554,1.837
2180,26.17,25.377
2181,8.73,9.08
2182,20.164,20.463
2183,6.54,5.285
2184,5.034,5.367000000000001
2185,5.034,4.5489999999999995
2186,5.034,5.311
2187,5.034,5.159
2188,6.558,6.4479999999999995
2190,1.8,1.402
2192,0.5,0.5
2193,6.581,6.581
2194,2.603,3.931
2195,4.0,4.0
2196,1.479,1.619
2197,7.71,7.545
2198,4.82,4.827
2199,2.218,2.218
2200,1.011,1.011
2201,1.4340000000000002,1.4340000000000002
2202,0.8540000000000001,0.8029999999999999
2203,1.473,1.473
2204,0.22,0.22
2205,20.108,20.051
2206,0.441,0.444
2207,0.042,0.040999999999999995
2208,0.11,0.10800000000000001
2209,0.258,0.259
2210,0.313,0.34
2211,0.332,0.304
2212,0.315,0.316
2213,0.3,0.301
2214,0.499,0.622
2217,0.177,0.177
2218,0.34299999999999997,0.342
2219,1.435,1.435
2220,8.417,8.347000000000001
2221,12.454,13.814
2222,1.744,1.821
2223,1.7930000000000001,1.806
2224,10.95,10.95
2225,6.475,6.475
2226,7.102164,7.4566490000000005
2227,34.952687,24.194589
2228,4.846998,4.846998
2229,1.9988560000000002,1.9988560000000002
2230,9.029833,9.029833
2231,9.94,6.5993460000000015
2232,10.764566,10.764566
2233,2.28005,2.563318
2234,3.91,2.374144
2235,2.95118,2.146989
2236,0.885,0.885
2237,0.07400000000000001,0.07400000000000001
2238,4.59,4.59
2239,1.6,1.6
2240,1.3395,1.3395
2241,0.7,0.7
2242,0.8320000000000001,0.8320000000000001
2243,0.359833,0.359833
2244,0.57982,1.837847
2245,2.602,2.565
2246,0.7,0.7
2247,0.8320000000000001,0.8320000000000001
2249,0.018000000000000002,0.018000000000000002
2250,2.099,2.64304
2251,7.997000000000001,7.997000000000001
2252,8.188884,8.188884
2253,4.958169,4.958169
2254,1.9022139999999998,1.911
2255,3.1289999999999996,2.894314
2256,0.641874,0.592746
2257,2.86147,1.456034
2258,0.14810299999999998,0.14810299999999998
2259,0.224559,0.292548
2260,0.748,0.748
2261,0.395455,0.395455
2262,1.105129,1.123318
2263,2.889,2.889
2264,1.306335,1.306335
2265,2.801735,2.801735
2266,0.355459,0.355459
2267,0.383968,0.383968
2268,0.617727,0.617727
2269,0.11520599999999999,0.11948900000000001
2270,4.466133,4.466133
2271,4.033832,4.033832
2272,2.829758,2.829758
2273,1.470464,1.470464
2274,1.175392,1.175392
2275,3.5211879999999995,3.5211879999999995
2276,0.686028,0.686028
2277,2.399168,2.399168
2278,4.148072,4.148072
2279,0.401758,0.42175799999999997
2280,9.187418,9.187418
2281,6.723725999999999,6.723725999999999
2282,4.996476,4.996476
2283,8.964967999999997,8.964967999999997
2284,4.4824839999999995,4.4824839999999995
2285,15.687444000000001,13.137819
2286,1.61,0.756378
2287,5.27,5.784626
2288,1.57313,5.26072
2289,2.6660000000000004,2.2348
2290,0.9,0.9
2291,1.5,1.7077200000000001
2292,0.1875,0.1875
2293,5.610721,5.610721
2294,2.41119,2.41119
2295,0.7472850000000001,0.7472850000000001
2296,1.0016,1.0016
2297,1.528437,1.528437
2298,6.111853,6.111853
2299,3.59,3.59
2300,11.072000000000001,11.072000000000001
2301,3.42035,3.530468
2302,0.817238,0.817238
2303,0.584675,0.584675
2304,0.15,0.15
2305,1.0,1.0
2306,0.4,0.4
2307,0.147,0.147
2308,0.147,0.147
2309,0.433,0.433
2310,0.433,0.433
2311,0.433,0.433
2312,0.433,0.433
2313,0.433,0.433
2314,0.433,0.433
2315,0.433,0.433
2316,3.3705,1141.5
2317,12.58,12.58
